주소,위도,경도,직선거리(m)
서울특별시 관악구 봉천동 851-10,37.48240877757,126.954136689638,1582.0
서울특별시 관악구 봉천동 854-3,37.479820194412,126.953336972256,1877.8
서울특별시 동작구 사당동 316-179,37.479663369004,126.972735546051,2313.2
서울특별시 동작구 상도1동 325-6,37.503066061765,126.952533315379,845.7
서울특별시 동작구 사당동 206-33,37.486771683901,126.966292460899,1339.7
서울특별시 동작구 상도동 903,37.505278465108,126.948114459844,1269.8
서울특별시 동작구 사당동 257-25,37.484119398279,126.973250027268,1968.7
서울특별시 관악구 봉천동 1622-16,37.476904968488,126.956947728506,2170.8
서울특별시 동작구 상도1동 774-1,37.502463319107,126.948671772587,1008.8
서울특별시 관악구 봉천동 1511-1,37.489840927296,126.933636230851,2204.8
서울특별시 동작구 사당동 202-40,37.487634475104,126.965471788759,1219.5
서울특별시 동작구 상도1동,37.503274474467,126.950641440147,956.8
서울특별시 관악구 봉천동 867-15,37.480230320934,126.950533225644,1894.7
서울특별시 동작구 사당동 315-15,37.481392052714,126.973262264846,2191.1
서울특별시 관악구 봉천동 898-3,37.47953730518,126.947254560398,2073.1
서울특별시 동작구 상도동 211-418,37.499108629999,126.945045258359,1113.7
서울특별시 관악구 봉천동 1599-2,37.479811393414,126.953562026356,1875.3
서울특별시 관악구 봉천동 1565-13,37.479420964364,126.947027159364,2093.4
서울특별시 동작구 상도동 7-60,37.505075497322,126.953113594536,1027.4
서울특별시 관악구 봉천동 1730,37.478120512086,126.943320095047,2375.9
서울특별시 관악구 봉천동 863-5,37.47947754221,126.951643743995,1947.5
서울특별시 관악구 봉천동 180-72,37.470987596303,126.96633478951,2941.0
서울특별시 관악구 봉천동 1524-2,37.482194284667,126.938517264527,2285.5
서울특별시 관악구 봉천동 891-8,37.483901426887,126.94743611242,1637.9
서울특별시 관악구 봉천동 895-25,37.481045963932,126.947052137436,1930.7
서울특별시 관악구 봉천동 950-12,37.485442020691,126.937995407236,2089.3
서울특별시 동작구 사당동 73-11,37.490521537834,126.980642027678,2169.2
서울특별시 관악구 봉천동 1687-28,37.477215098905,126.965043976421,2245.3
서울특별시 관악구 봉천동 180-92,37.471688113861,126.966331604387,2866.1
서울특별시 관악구 봉천동 1622-25,37.476673334593,126.956901041305,2196.6
서울특별시 관악구 봉천동 861-7,37.481888806206,126.952208097536,1675.6
서울특별시 동작구 상도1동 645-5,37.504503390521,126.951318107057,1037.6
서울특별시 관악구 봉천동 868-3,37.480393516589,126.951492450643,1852.7
서울특별시 관악구 봉천동 918-21,37.479946886878,126.944424913705,2151.7
서울특별시 동작구 상도동 17-52,37.506160450869,126.948189896973,1343.3
서울특별시 관악구 봉천동 932-22,37.483825109659,126.941872959464,1947.8
서울특별시 동작구 상도1동 363-4,37.500738910167,126.950682172063,749.3
서울특별시 관악구 봉천동 685-103,37.492868931728,126.934140234689,2073.2
서울특별시 관악구 봉천동 731-1,37.491806064496,126.926618817694,2747.2
서울특별시 동작구 사당동 142-1,37.486048241838,126.980504480647,2357.2
서울특별시 관악구 봉천동 1568-2,37.479009832013,126.950509085763,2024.8
서울특별시 동작구 상도1동 483-21,37.503436709523,126.952466511611,884.7
서울특별시 관악구 봉천동 1583-5,37.477760257888,126.947748003038,2237.1
서울특별시 동작구 사당동 244-1,37.483930973096,126.969231491428,1748.1
서울특별시 동작구 사당동 1004-14,37.483327140791,126.978694576294,2390.7
서울특별시 동작구 흑석동,37.505492963945,126.962336842919,1105.1
서울특별시 관악구 봉천동 1717,37.487311310827,126.960864927136,1063.6
서울특별시 관악구 봉천동 867-14,37.480038794447,126.95050154205,1915.8
서울특별시 동작구 상도1동 326-5,37.502873864725,126.952551085014,826.3
서울특별시 관악구 봉천동 912-16,37.482341051792,126.945292105407,1886.3
서울특별시 동작구 상도동 236-4,37.498966389102,126.938531932858,1671.6
서울특별시 동작구 사당동 202-8,37.488027795911,126.96491246436,1155.0
서울특별시 관악구 봉천동 1688-36,37.477792360577,126.965486624728,2196.9
서울특별시 동작구 상도동 201-21,37.500963209896,126.938797639189,1700.7
서울특별시 관악구 봉천동 1510-24,37.474018743948,126.961885842943,2525.5
서울특별시 관악구 봉천동 1733,37.477902959789,126.941851166516,2465.4
서울특별시 관악구 봉천동 1614-2,37.477586207668,126.955444098895,2100.7
서울특별시 동작구 사당동 183-14,37.490907775932,126.964052732552,860.9
서울특별시 관악구 봉천동 701-20,37.49044999829,126.926487473271,2790.6
서울특별시 관악구 봉천동 896-29,37.480067628194,126.947151798265,2023.8
서울특별시 관악구 봉천동 881-26,37.479807705376,126.947695197048,2029.6
서울특별시 관악구 봉천동 918-10,37.479941773918,126.94363751772,2189.4
서울특별시 관악구 봉천동 1654-9,37.475044018345,126.969471884412,2612.2
서울특별시 관악구 봉천동 972-43,37.49051931663,126.925893950707,2839.7
서울특별시 관악구 봉천동 863-9,37.479909629319,126.951790259663,1897.7
서울특별시 관악구 봉천동 635-468,37.489262995072,126.94073318827,1657.4
서울특별시 동작구 사당동 316-272,37.480879038331,126.975328906893,2354.7
서울특별시 동작구 사당동 1001-3,37.483284267356,126.976802696929,2263.7
서울특별시 동작구 상도1동 480-1,37.503844279565,126.951266474533,977.3
서울특별시 동작구 상도동 134-195,37.494301398981,126.953240328912,422.3
서울특별시 관악구 봉천동 1730-1,37.476425104531,126.942494058489,2575.2
서울특별시 동작구 사당동 321-18,37.482924390343,126.976388379455,2262.2
서울특별시 동작구 사당동 1025-15,37.4797095952,126.977633511172,2589.0
서울특별시 관악구 봉천동 28-30,37.483387616222,126.956649165115,1450.6
서울특별시 관악구 봉천동 173-43,37.473111947753,126.970830088002,2857.5
서울특별시 동작구 사당동 141-10,37.485734926297,126.979446684466,2294.1
서울특별시 동작구 사당동 1034-33,37.4789771845,126.978705053673,2713.3
서울특별시 동작구 상도동 294-66,37.495806956429,126.932212648416,2206.2
서울특별시 동작구 사당동 316-174,37.480366359223,126.973627464368,2299.5
